articles.A-B,Adv_Prev_Med,Adv_Prev_Med_2011_Jun_8_2011_281863.nxml,Vitamin D  Sunlight and Prostate Cancer Risk,advances in preventive medicine,RSG-09-175-01-CCE,14,Vitamin D  Sunlight and Prostate Cancer Risk
articles.A-B,Biomolecules,Biomolecules_2012_Sep_4_2(3)_376-388.nxml,Sumoylation and the DNA Damage Response,biomolecules,RSG-12-013-01-CCG,7,Sumoylation and the DNA Damage Response
articles.A-B,Adv_Hematol,Adv_Hematol_2009_Aug_27_2009_634292.nxml,CREB: A Key Regulator of Normal and Neoplastic Hematopoiesis,advances in hematology,RSG-99-081-01-LIB,17,CREB: A Key Regulator of Normal and Neoplastic Hematopoiesis
articles.A-B,Arch_Drug_Inf,Arch_Drug_Inf_2008_Sep_1(2)_70-78.nxml,Patients' Perceptions of Physician-Patient Discussions and Adverse Events with Cancer Therapy,archives of drug information,RSGT-08-009-01-CPHPS,7,Patients' Perceptions of Physician-Patient Discussions and Adverse Events with Cancer Therapy
articles.A-B,BMC_Cancer,BMC_Cancer_2007_May_3_7_74.nxml,Promoter methylation of RASSF1A and DAPK and mutations of K-ras  p53  and EGFR in lung tumors from smokers and never-smokers,bmc cancer,RPG-99-161-01-CNE,30,Promoter methylation of RASSF1A and DAPK and mutations of K-ras  p53  and EGFR in lung tumors from smokers and never-smokers
articles.A-B,BMC_Cancer,BMC_Cancer_2008_Apr_24_8_119.nxml,A stable explant culture of HER2/neu invasive carcinoma supported by alpha-Smooth Muscle Actin expressing stromal cells to evaluate therapeutic agents,bmc cancer,RSG-03-086-01,1,A stable explant culture of HER2/neu invasive carcinoma supported by alpha-Smooth Muscle Actin expressing stromal cells to evaluate therapeutic agents
articles.A-B,BMC_Cancer,BMC_Cancer_2005_Oct_19_5_135.nxml,Differential biologic effects of CPD and 6-4PP UV-induced DNA damage on the induction of apoptosis and cell-cycle arrest,bmc cancer,RPG-96-070-07-CIM,59,Differential biologic effects of CPD and 6-4PP UV-induced DNA damage on the induction of apoptosis and cell-cycle arrest
articles.A-B,BMC_Cancer,BMC_Cancer_2008_Sep_18_8_264.nxml,Expression profile of CREB knockdown in myeloid leukemia cells,bmc cancer,RSG-99-081-01-LIB,13,Expression profile of CREB knockdown in myeloid leukemia cells
articles.A-B,BMC_Cancer,BMC_Cancer_2005_Aug_4_5_95.nxml,Folate system correlations in DNA microarray data,bmc cancer,IRG-91-022-09,5,Folate system correlations in DNA microarray data
articles.A-B,BMC_Cancer,BMC_Cancer_2006_Oct_6_6_239.nxml,Polymorphisms in GSTT1   GSTM1   NAT1 and NAT2 genes and bladder cancer risk in men and women,bmc cancer,RSG-00-061-04-CCE,44,Polymorphisms in GSTT1   GSTM1   NAT1 and NAT2 genes and bladder cancer risk in men and women
articles.A-B,BMC_Cancer,BMC_Cancer_2006_Apr_25_6_104.nxml,On systems and control approaches to therapeutic gain,bmc cancer,IRG-91-022-09,6,On systems and control approaches to therapeutic gain
articles.A-B,BMC_Cancer,BMC_Cancer_2008_Nov_7_8_327.nxml,Methylation of WTH3   a possible drug resistant gene  inhibits p53 regulated expression,bmc cancer,RSG-03-137-01-CDD,13,Methylation of WTH3   a possible drug resistant gene  inhibits p53 regulated expression
articles.A-B,BMC_Cancer,BMC_Cancer_2008_Dec_24_8_387.nxml,Smoking  environmental tobacco smoke  and risk of renal cell cancer: a population-based case-control study,bmc cancer,TURSG-02-068-01-PBP,25,Smoking  environmental tobacco smoke  and risk of renal cell cancer: a population-based case-control study
articles.A-B,BMC_Cancer,BMC_Cancer_2007_Jan_9_7_4.nxml,Progression of renal cell carcinoma is inhibited by genistein and radiation in an orthotopic model,bmc cancer,ROG-06-096-01,43,Progression of renal cell carcinoma is inhibited by genistein and radiation in an orthotopic model
articles.A-B,BMC_Complement_Altern_Med,BMC_Complement_Altern_Med_2006_Oct_6_6_34.nxml,Use of selected complementary and alternative medicine (CAM) treatments in veterans with cancer or chronic pain: a cross-sectional survey,bmc complementary and alternative medicine,PTAPM-97-185-04,53,Use of selected complementary and alternative medicine (CAM) treatments in veterans with cancer or chronic pain: a cross-sectional survey
articles.A-B,BMC_Genomics,BMC_Genomics_2008_Sep_16_9(Suppl_2)_S16.nxml,Validation of Stereophotogrammetry of the Human Torso,bmc genomics,IRG 97-219-08,8,Use artificial neural network to align biological ontologies
articles.A-B,BMC_Genomics,BMC_Genomics_2004_Dec_14_5_94.nxml,Prognostic meta-signature of breast cancer developed by two-stage mixture modeling of microarray data,bmc genomics,RSG-02-179-01,119,Prognostic meta-signature of breast cancer developed by two-stage mixture modeling of microarray data
articles.A-B,BMC_Genomics,BMC_Genomics_2014_May_10_15(1)_354.nxml,Whole genome profiling of spontaneous and chemically induced mutations in Toxoplasma gondii,bmc genomics,RSG-12-175-01,0,Whole genome profiling of spontaneous and chemically induced mutations in Toxoplasma gondii
articles.A-B,BMC_Genomics,BMC_Genomics_2006_Oct_26_7_276.nxml,Genome-wide mapping of ORC and Mcm2p binding sites on tiling arrays and identification of essential ARS consensus sequences in S. cerevisiae,bmc genomics,IRG-58-007-42,80,Genome-wide mapping of ORC and Mcm2p binding sites on tiling arrays and identification of essential ARS consensus sequences in S. cerevisiae
articles.A-B,BMC_Genomics,BMC_Genomics_2008_Dec_23_9_626.nxml,Sequence divergence of Mus spretus and Mus musculus across a skin cancer susceptibility locus,bmc genomics,RSG-07-083-01-MGO,14,Sequence divergence of Mus spretus and Mus musculus across a skin cancer susceptibility locus
articles.A-B,BMC_Med_Inform_Decis_Mak,BMC_Med_Inform_Decis_Mak_2005_Nov_28_5_36.nxml,Development and initial testing of a computer-based patient decision aid to promote colorectal cancer screening for primary care practice,bmc medical informatics and decision making,PTAPM-01-085-01,37,Development and initial testing of a computer-based patient decision aid to promote colorectal cancer screening for primary care practice
articles.A-B,BMC_Microbiol,BMC_Microbiol_2004_Dec_8_4_47.nxml,Allele specific synthetic lethality between priC and dnaA ts alleles at the permissive temperature of 30C in E. coli K-12,bmc microbiology,RPG-99-194-04-GMC,7,Allele specific synthetic lethality between priC and dnaAts alleles at the permissive temperature of 30 C in E. coli K-12
articles.C-H,Cancer_Metastasis_Rev,Cancer_Metastasis_Rev_2010_Jun_21_29(2)_309-316.nxml,Interactions between lymphocytes and myeloid cells regulate pro- versus anti-tumor immunity,cancer metastasis reviews,PF-07-264-01,151,Interactions between lymphocytes and myeloid cells regulate pro- versus anti-tumor immunity
articles.C-H,Cancer_Causes_Control,Cancer_Causes_Control_2012_Apr_6_23(4)_635-645.nxml,Association of cord blood methylation fractions at imprinted insulin-like growth factor 2 ( IGF2 )  plasma IGF2  and birth weight,cancer causes & control,IRG-83-006,25,Association of cord blood methylation fractions at imprinted insulin-like growth factor 2 ( IGF2 )  plasma IGF2  and birth weight
articles.C-H,Cancer_Microenviron,Cancer_Microenviron_2009_Mar_18_2(1)_9-21.nxml,Identification of Molecular Distinctions Between Normal Breast-Associated Fibroblasts and Breast Cancer-Associated Fibroblasts,cancer microenvironment,RSG-05-207-01-TBE,41,Identification of Molecular Distinctions Between Normal Breast-Associated Fibroblasts and Breast Cancer-Associated Fibroblasts
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2011_Mar_16_3(1)_1383-1404.nxml,Epigenetic Regulation by Lysine Demethylase 5 (KDM5) Enzymes in Cancer,cancers,IRG-58-012-51,34,Epigenetic Regulation by Lysine Demethylase 5 (KDM5) Enzymes in Cancer
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2011_Jan_14_3(1)_285-297.nxml,Enteric Bacteria and Cancer Stem Cells,cancers,RSG-09-075-01-MBC,10,Enteric Bacteria and Cancer Stem Cells
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2014_Mar_6_6(1)_526-544.nxml,The Role of STAT3 in Thyroid Cancer,cancers,RSGM-10-189-01-TBE,0,The Role of STAT3 in Thyroid Cancer
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2014_Mar_26_6(2)_741-755.nxml,HiJAKd Signaling  the STAT3 Paradox in Senescence and Cancer Progression,cancers,RSG-CCG-122517,0,HiJAKd Signaling  the STAT3 Paradox in Senescence and Cancer Progression
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2011_Oct_26_3(4)_4024-4045.nxml,Nanoparticle Delivery of Natural Products in the Prevention and Treatment of Cancers: Current Status and Future Prospects,cancers,MRSG-11-019-01-CNE,7,Nanoparticle Delivery of Natural Products in the Prevention and Treatment of Cancers: Current Status and Future Prospects
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2011_Apr_18_3(2)_1975-1995.nxml,Essential Gene Pathways for Glioblastoma Stem Cells: Clinical Implications for Prevention of Tumor Recurrence,cancers,RSG-07-109-01-CCE,1,Essential Gene Pathways for Glioblastoma Stem Cells: Clinical Implications for Prevention of Tumor Recurrence
articles.C-H,Cancers_(Basel),Cancers_(Basel)_2013_Jun_5_5(2)_676-713.nxml,Epigenetics and Colorectal Cancer Pathogenesis,cancers,RSG-09-209 to K.L,14,Epigenetics and Colorectal Cancer Pathogenesis
articles.C-H,Cancer_Gene_Ther,Cancer_Gene_Ther_2013_Aug_12_20(8)_469-477.nxml,Extranodal induction of therapeutic immunity in the tumor microenvironment after intratumoral delivery of Tbet  gene-modified dendritic cells,cancer gene therapy,PF-11-151-01-LIB,2,Extranodal induction of therapeutic immunity in the tumor microenvironment after intratumoral delivery of Tbet  gene-modified dendritic cells
articles.C-H,Cancer_Gene_Ther,Cancer_Gene_Ther_2012_Jun_4_19(6)_431-442.nxml,Pharmacokinetic study of neural stem cell-based cell carrier for oncolytic virotherapy: Targeted delivery of the therapeutic payload in an orthotopic brain tumor model,cancer gene therapy,RSG-07-276-01-MGO,23,Pharmacokinetic study of neural stem cell-based cell carrier for oncolytic virotherapy: Targeted delivery of the therapeutic payload in an orthotopic brain tumor model
articles.C-H,Cancer_Immunol_Immunother,Cancer_Immunol_Immunother_2012_Oct_21_61(10)_1627-1638.nxml,TCR hypervariable regions expressed by T cells that respond to effective tumor vaccines,cancer immunology  immunotherapy,RSG-08-184-01-LIB,6,TCR hypervariable regions expressed by T cells that respond to effective tumor vaccines
articles.I-N,J_Bone_Miner_Res,J_Bone_Miner_Res_2010_Oct_30_25(10)_2138-2147.nxml,Wnt10b Deficiency Results in Age-Dependent Loss of Bone Mass and Progressive Reduction of Mesenchymal Progenitor Cells,journal of bone and mineral research,RSG-05-034-01-CSM,43,Wnt10b Deficiency Results in Age-Dependent Loss of Bone Mass and Progressive Reduction of Mesenchymal Progenitor Cells
articles.I-N,JAKSTAT,JAKSTAT_2012_Oct_1_1(4)_274-284.nxml,Alternative ways of modulating JAK-STAT pathway Looking beyond phosphorylation,jak-stat,IRG 97-152-17,4,Alternative ways of modulating JAK-STAT pathway Looking beyond phosphorylation
articles.I-N,J_Nucleic_Acids,J_Nucleic_Acids_2011_Jun_16_2011_529828.nxml,Stabilization of a G-Quadruplex from Unfolding by Replication Protein A Using Potassium and the Porphyrin TMPyP4,journal of nucleic acids,RSG-02-162-01-GMC,6,Stabilization of a G-Quadruplex from Unfolding by Replication Protein A Using Potassium and the Porphyrin TMPyP4
articles.I-N,Int_J_Cell_Biol,Int_J_Cell_Biol_2012_Mar_20_2012_150918.nxml,Antiproliferative Factor-Induced Changes in Phosphorylation and Palmitoylation of Cytoskeleton-Associated Protein-4 Regulate Its Nuclear Translocation and DNA Binding,international journal of cell biology,IRG-01-188-04,6,Antiproliferative Factor-Induced Changes in Phosphorylation and Palmitoylation of Cytoskeleton-Associated Protein-4 Regulate Its Nuclear Translocation and DNA Binding
articles.I-N,Int_J_Hepatol,Int_J_Hepatol_2012_Sep_3_2012_958673.nxml,Watch the GAP: Emerging Roles for IQ Motif-Containing GTPase-Activating Proteins IQGAPs in Hepatocellular Carcinoma,international journal of hepatology,RSG-09-033-01-CSM,3,Watch the GAP: Emerging Roles for IQ Motif-Containing GTPase-Activating Proteins IQGAPs in Hepatocellular Carcinoma
articles.I-N,Mol_Syst_Biol,Mol_Syst_Biol_2009_Jun_16_5_278.nxml,Bistability coordinates activation of the EGFR and DPP pathways in Drosophila vein differentiation,molecular systems biology,RSG-06-196-01-TBE,19,Bistability coordinates activation of the EGFR and DPP pathways in Drosophila vein differentiation
articles.I-N,Nutr_J,Nutr_J_2005_Nov_21_4_34.nxml,Evaluating changeability to improve fruit and vegetable intake among school aged children,nutrition journal,TURPG-00-286-01,18,Evaluating changeability to improve fruit and vegetable intake among school aged children
articles.I-N,Nat_Commun,Nat_Commun_2012_Sep_11_3_1053.nxml,High-fat or ethinyl-oestradiol intake during pregnancy increases mammary cancer risk in several generations of offspring,nature communications,PF-09-018-01-CNE,17,High-fat or ethinyl-oestradiol intake during pregnancy increases mammary cancer risk in several generations of offspring
articles.I-N,Nat_Commun,Nat_Commun_2013_May_28_4_1909.nxml,Sam68 modulates the promoter specificity of NF-B and mediates expression of CD25 in activated T cells,nature communications,RSG-13-052-01-MPC,2,Sam68 modulates the promoter specificity of NF-B and mediates expression of CD25 in activated T cells
articles.I-N,Nat_Commun,Nat_Commun_2011_Jul_5_2_380.nxml,Identification of the PGRMC1 protein complex as the putative sigma-2 receptor binding site,nature communications,MRSG 08-019-01,84,Identification of the PGRMC1 protein complex as the putative sigma-2 receptor binding site
articles.I-N,Nat_Commun,Nat_Commun_2013_Apr_3_4_1659.nxml,Regulation of protein glycosylation and sorting by the Golgi matrix proteins GRASP55/65,nature communications,RGS-09-278-01-CSM,10,Regulation of protein glycosylation and sorting by the Golgi matrix proteins GRASP55/65
articles.I-N,Nat_Commun,Nat_Commun_2013_Aug_6_4_2164.nxml,Visualization of poly(ADP-ribose) bound to PARG reveals inherent balance between exo - and endo -glycohydrolase activities,nature communications,PF-09-024-01-CCG,5,Visualization of poly(ADP-ribose) bound to PARG reveals inherent balance between exo - and endo -glycohydrolase activities
articles.I-N,Nat_Commun,Nat_Commun_2014_Mar_26_5_3543.nxml,Spontaneous tumour regression in keratoacanthomas is driven by Wnt/retinoic acid signalling cross-talk,nature communications,RSG-12-059-01-DDC,0,Spontaneous tumour regression in keratoacanthomas is driven by Wnt/retinoic acid signalling cross-talk
articles.I-N,Nat_Commun,Nat_Commun_2013_4_1627.nxml,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31,nature communications,SIOP-06-258-01-COUN,10,Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31
articles.I-N,J_Med_Internet_Res,J_Med_Internet_Res_2012_Jul_25_14(4)_e106.nxml,Animated Graphics for Comparing Two Risks: A Cautionary Tale,journal of medical internet research,MRSG-06-130-01-CPPB,6,Animated Graphics for Comparing Two Risks: A Cautionary Tale
articles.I-N,J_Med_Internet_Res,J_Med_Internet_Res_2014_Mar_18_16(3)_e80.nxml,Animated Randomness  Avatars  Movement  and Personalization in Risk Graphics,journal of medical internet research,MRSG-06-130-01-CPPB,0,Animated Randomness  Avatars  Movement  and Personalization in Risk Graphics
articles.I-N,J_Med_Internet_Res,J_Med_Internet_Res_2011_Aug_25_13(3)_e60.nxml,Cool but Counterproductive: Interactive  Web-Based Risk Communications Can Backfire,journal of medical internet research,MRSG-06-130-01-CPPB,10,Cool but Counterproductive: Interactive  Web-Based Risk Communications Can Backfire
articles.I-N,J_Med_Internet_Res,J_Med_Internet_Res_2010_Dec_17_12(4)_e71.nxml,An Online Community Improves Adherence in an Internet-Mediated Walking Program. Part 1: Results of a Randomized Controlled Trial,journal of medical internet research,MRSG-06-130-01-CPPB,66,An Online Community Improves Adherence in an Internet-Mediated Walking Program. Part 1: Results of a Randomized Controlled Trial
articles.I-N,J_Med_Internet_Res,J_Med_Internet_Res_2011_Sep_7_13(3)_e54.nxml,Risk Estimates From an Online Risk Calculator Are More Believable and Recalled Better When Expressed as Integers,journal of medical internet research,MRSG-06-130-01-CPPB,8,Risk Estimates From an Online Risk Calculator Are More Believable and Recalled Better When Expressed as Integers
articles.I-N,J_Neurooncol,J_Neurooncol_2009_Aug_26_94(1)_1-19.nxml,Molecular properties of CD133+ glioblastoma stem cells derived from treatment-refractory recurrent brain tumors,journal of neuro-oncology,RSG-07-109-01-CCE,61,Molecular properties of CD133+ glioblastoma stem cells derived from treatment-refractory recurrent brain tumors
articles.I-N,Int_J_Biomed_Imaging,Int_J_Biomed_Imaging_2013_Feb_12_2013_517632.nxml,Automatic Detection of 2D and 3D Lung Nodules in Chest Spiral CT Scans,international journal of biomedical imaging,RSG-11-266-01-CCE,1,Automatic Detection of 2D and 3D Lung Nodules in Chest Spiral CT Scans
articles.I-N,Int_J_Biomed_Imaging,Int_J_Biomed_Imaging_2013_Jan_29_2013_942353.nxml,Computer-Aided Diagnosis Systems for Lung Cancer: Challenges and Methodologies,international journal of biomedical imaging,RSG-11-266-01-CCE,13,Computer-Aided Diagnosis Systems for Lung Cancer: Challenges and Methodologies
articles.I-N,Mol_Cancer,Mol_Cancer_2008_Jul_10_7_61.nxml,Soluble histone H2AX is induced by DNA replication stress and sensitizes cells to undergo apoptosis,molecular cancer,RSG-08-092-01-CCG,29,Soluble histone H2AX is induced by DNA replication stress and sensitizes cells to undergo apoptosis
articles.I-N,Mol_Cancer,Mol_Cancer_2005_Feb_3_4_9.nxml,Global gene expression in neuroendocrine tumors from patients with the MEN1 syndrome,molecular cancer,RPG-99-183-01-CCE,57,Global gene expression in neuroendocrine tumors from patients with the MEN1 syndrome
articles.I-N,Mol_Cancer,Mol_Cancer_2007_Apr_16_6_30.nxml,A novel small molecule that selectively inhibits glioblastoma cells expressing EGFRvIII,molecular cancer,RSG-02-024-01-CDD,17,A novel small molecule that selectively inhibits glioblastoma cells expressing EGFRvIII
articles.I-N,Mol_Cancer,Mol_Cancer_2007_Feb_14_6_16.nxml,Attenuation of PTEN increases p21 stability and cytosolic localization in kidney cancer cells: a potential mechanism of apoptosis resistance,molecular cancer,RSG-02-173-01-LIB,36,Attenuation of PTEN increases p21 stability and cytosolic localization in kidney cancer cells: a potential mechanism of apoptosis resistance
articles.I-N,Mol_Cancer,Mol_Cancer_2009_Mar_6_8_16.nxml,Retinoid and thiazolidinedione therapies in melanoma: an analysis of differential response based on nuclear hormone receptor expression,molecular cancer,MRSG-06-193-01-TBE,10,Retinoid and thiazolidinedione therapies in melanoma: an analysis of differential response based on nuclear hormone receptor expression
articles.I-N,ISRN_Obstet_Gynecol,ISRN_Obstet_Gynecol_2012_Mar_4_2012_854237.nxml,CD8 T-Cell Responses in Incident and Prevalent Human Papillomavirus Types 16 and 18 Infections,isrn obstetrics and gynecology,RSG-06-180-01-MBC,1,CD8 T-Cell Responses in Incident and Prevalent Human Papillomavirus Types 16 and 18 Infections
articles.I-N,Mol_Biol_Cell,Mol_Biol_Cell_2010_Nov_1_21(21)_3639-3653.nxml,Cell Typedependent Requirement for PIP Boxregulated Cdt1 Destruction During S Phase,molecular biology of the cell,RSG-04-179-01-DDC,10,Cell Type–dependent Requirement for PIP Box–regulated Cdt1 Destruction During S Phase
articles.I-N,Mol_Biol_Cell,Mol_Biol_Cell_2010_Nov_15_21(22)_3942-3951.nxml,Daughter Centriole Elongation Is Controlled by Proteolysis,molecular biology of the cell,RSG-07-075-01,13,Daughter Centriole Elongation Is Controlled by Proteolysis
articles.I-N,Nat_Neurosci,Nat_Neurosci_2012_Mar_18_15(5)_722-730.nxml,Negative regulation of glial engulfment activity by Draper terminates glial responses to axon injury,nature neuroscience,PF-07-258-01-CSM,12,Negative regulation of glial engulfment activity by Draper terminates glial responses to axon injury
articles.I-N,J_Cancer_Epidemiol,J_Cancer_Epidemiol_2012_Jul_30_2012_728290.nxml,Psychosocial and Quality of Life in Women Receiving the 21-Gene Recurrence Score Assay: The Impact of Decision Style in Women with Intermediate RS,journal of cancer epidemiology,MRSG-10-110-01-CPPB,3,Psychosocial and Quality of Life in Women Receiving the 21-Gene Recurrence Score Assay: The Impact of Decision Style in Women with Intermediate RS
articles.I-N,J_Vis_Exp,J_Vis_Exp_2011_Jul_29_(53)_2846.nxml,Method for Novel Anti-Cancer Drug Development using Tumor Explants of Surgical Specimens,journal of visualized experiments : jove,MRSG-08-108-01,3,Method for Novel Anti-Cancer Drug Development using Tumor Explants of Surgical Specimens
articles.I-N,J_Vis_Exp,J_Vis_Exp_2011_Oct_11_(56)_3245.nxml,In vivo Dual Substrate Bioluminescent Imaging,journal of visualized experiments : jove,PF-09-120-01,11,In vivo Dual Substrate Bioluminescent Imaging
articles.I-N,J_Vis_Exp,J_Vis_Exp_2010_Mar_4_(37)_1717.nxml,Dissection of Organs from the Adult Zebrafish,journal of visualized experiments : jove,PF-05-041-01-DDC,23,Dissection of Organs from the Adult Zebrafish
articles.I-N,J_Vis_Exp,J_Vis_Exp_2010_Oct_22_(44)_2307.nxml,Retroviral Transduction of T-cell Receptors in Mouse T-cells,journal of visualized experiments : jove,RSG-09-070-01-LIB,3,Retroviral Transduction of T-cell Receptors in Mouse T-cells
articles.I-N,J_Vis_Exp,J_Vis_Exp_2010_Jun_6_(40)_1878.nxml,Time-lapse Imaging of Mitosis After siRNA Transfection,journal of visualized experiments : jove,PF-07-103-01-CSM,2,Time-lapse Imaging of Mitosis After siRNA Transfection
articles.I-N,J_Gen_Virol,J_Gen_Virol_2010_Nov_91(Pt_11)_2664-2676.nxml,Murine cytomegalovirus major immediate-early protein 3 interacts with cellular and viral proteins in viral DNA replication compartments and is important for early gene activation,the journal of general virology,IRG-92-032-13,11,Murine cytomegalovirus major immediate-early protein 3 interacts with cellular and viral proteins in viral DNA replication compartments and is important for early gene activation
articles.I-N,Nucl_Recept_Signal,Nucl_Recept_Signal_2005_Oct_21_3_e004.nxml,Chaperoning steroid hormone signaling via reversible acetylation Role of acetylation in NR signaling,nuclear receptor signaling,RSG-03-147-01-CSM,22,Chaperoning steroid hormone signaling via reversible acetylation Role of acetylation in NR signaling
articles.I-N,Int_J_Circumpolar_Health,Int_J_Circumpolar_Health_2013_Aug_5_72_10_3402_ijch_v72i0_20717.nxml,Bridging storytelling traditions with digital technology,international journal of circumpolar health,MRSGT-09-007-01-CPPB,1,Bridging storytelling traditions with digital technology
articles.I-N,Nat_Chem,Nat_Chem_2013_Feb_23_5(2)_126-131.nxml,A divergent approach to the synthesis of the yohimbinoid alkaloids venenatine and alstovenine,nature chemistry,RSG-09-017-01,4,A divergent approach to the synthesis of the yohimbinoid alkaloids venenatine and alstovenine
articles.I-N,Nat_Chem,Nat_Chem_2010_Aug_23_2(8)_638-643.nxml,Convergent and Stereospecific Synthesis of Complex Skipped Polyenes and Polyunsaturated Fatty Acids,nature chemistry,RSG-06-117-01,17,Convergent and Stereospecific Synthesis of Complex Skipped Polyenes and Polyunsaturated Fatty Acids
articles.I-N,J_Community_Health,J_Community_Health_2010_Apr_15_35(2)_156-164.nxml,Conducting Health Research in Korean American Churches: Perspectives from Church Leaders,journal of community health,MSRGT-07-168-01-CPPB,14,Conducting Health Research in Korean American Churches: Perspectives from Church Leaders
articles.I-N,Nucleus,Nucleus_2012_May_1_3(3)_226-236.nxml,Nuclear envelope insertion of spindle pole bodies and nuclear pore complexes,nucleus,RSG-11-030-01-CSM,11,Nuclear envelope insertion of spindle pole bodies and nuclear pore complexes
articles.I-N,Immunol_Cell_Biol,Immunol_Cell_Biol_2012_Jan_8_90(1)_101-108.nxml,Absence of scavenger receptor A promotes dendritic cell-mediated cross-presentation of cell-associated antigen and antitumor immune response,immunology and cell biology,RSG-08-187-01-LIB,11,Absence of scavenger receptor A promotes dendritic cell-mediated cross-presentation of cell-associated antigen and antitumor immune response
articles.I-N,J_Gen_Physiol,J_Gen_Physiol_2013_Aug_142(2)_157-169.nxml,Neurotoxic unc-8 mutants encode constitutively active DEG/ENaC channels that are blocked by divalent cations Divalent cation block of neurotoxic degenerin UNC-8(d),the journal of general physiology,RGS-09-043-01-DDC,1,Neurotoxic unc-8 mutants encode constitutively active DEG/ENaC channels that are blocked by divalent cations Divalent cation block of neurotoxic degenerin UNC-8(d)
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2011_Jun_19_13(7)_762-770.nxml,Opposing Effects of Tcf3 and Tcf1 Control Wnt-Stimulation of Embryonic Stem Cell Self Renewal,nature cell biology,RSG GGC 112994,103,Opposing Effects of Tcf3 and Tcf1 Control Wnt-Stimulation of Embryonic Stem Cell Self Renewal
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2013_Oct_22_15(10)_1206-1219.nxml,PI(3)P-bound UVRAG coordinates Golgi-ER retrograde and Atg9 transport by differential interactions with the ER tether and the Beclin1 complex,nature cell biology,RSG-11-121-01-CCG,3,PI(3)P-bound UVRAG coordinates Golgi-ER retrograde and Atg9 transport by differential interactions with the ER tether and the Beclin1 complex
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2008_Oct_21_10(10)_1208-1216.nxml,Jade-1 inhibits Wnt signaling by ubiquitinating -catenin and mediates Wnt pathway inhibition by pVHL,nature cell biology,IRG-72-001-32-IRG,76,Jade-1 inhibits Wnt signaling by ubiquitinating -catenin and mediates Wnt pathway inhibition by pVHL
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2013_May_21_15(5)_491-501.nxml,DAF-16/FOXO employs the chromatin remodeller SWI/SNF to promote stress resistance and longevity,nature cell biology,PF-12-078-01-RMC,13,DAF-16/FOXO employs the chromatin remodeller SWI/SNF to promote stress resistance and longevity
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2011_Oct_9_13(11)_1361-1367.nxml,Microtubules induce self-organization of polarized PAR domains in C. elegans zygotes,nature cell biology,PF-08-158-01,31,Microtubules induce self-organization of polarized PAR domains in C. elegans zygotes
articles.I-N,Nat_Cell_Biol,Nat_Cell_Biol_2010_Feb_17_12(2)_193-199.nxml,Regulation of NF-B inhibitor IB and viral replication by a KSHV microRNA,nature cell biology,#RSG-04-195,127,Regulation of NF-B inhibitor IB and viral replication by a KSHV microRNA
articles.I-N,Int_J_Oncol,Int_J_Oncol_2012_May_31_41(2)_721-732.nxml,Loss of post-transcriptional regulation of DNMT3b by microRNAs: A possible molecular mechanism for the hypermethylation defect observed in a subset of breast cancer cell lines,international journal of oncology,PF-08-166-01-GMC,7,Loss of post-transcriptional regulation of DNMT3b by microRNAs: A possible molecular mechanism for the hypermethylation defect observed in a subset of breast cancer cell lines
articles.I-N,Int_J_Oncol,Int_J_Oncol_2013_May_27_43(2)_548-560.nxml,The microRNA-200 family targets multiple non-small cell lung cancer prognostic markers in H1299 cells and BEAS-2B cells,international journal of oncology,IRG-09-061-04-IRG,11,The microRNA-200 family targets multiple non-small cell lung cancer prognostic markers in H1299 cells and BEAS-2B cells
articles.I-N,Int_J_Oncol,Int_J_Oncol_2013_Oct_11_43(6)_2031-2038.nxml,Autophagy sensitivity of neuroendocrine lung tumor cells,international journal of oncology,RSGM-10-189-01-TBE,0,Autophagy sensitivity of neuroendocrine lung tumor cells
articles.I-N,J_Transl_Med,J_Transl_Med_2007_Mar_13_5_14.nxml,Tumor-specific T cells signal tumor destruction via the lymphotoxin  receptor,journal of translational medicine,LIB-106810,5,Tumor-specific T cells signal tumor destruction via the lymphotoxin  receptor
articles.I-N,J_Transl_Med,J_Transl_Med_2009_Mar_26_7_24.nxml,Sigma-2 receptor ligands potentiate conventional chemotherapies and improve survival in models of pancreatic adenocarcinoma,journal of translational medicine,MRSG-08-019-01,34,Sigma-2 receptor ligands potentiate conventional chemotherapies and improve survival in models of pancreatic adenocarcinoma
articles.I-N,J_Transl_Med,J_Transl_Med_2008_Jul_24_6_41.nxml,Use of cancer-specific yeast-secreted in vivo biotinylated recombinant antibodies for serum biomarker discovery,journal of translational medicine,PF0523501,14,Use of cancer-specific yeast-secreted in vivo biotinylated recombinant antibodies for serum biomarker discovery
